,GEOID,state,week_of_year,pop_count_2010,cases_cum,cases_cum_rate_100K,cases_count_pos,cases_rate_100K
0,1,Alabama,4,4779736,0,0.0,0.0,0.0
1,1,Alabama,5,4779736,0,0.0,0.0,0.0
2,1,Alabama,6,4779736,0,0.0,0.0,0.0
3,1,Alabama,7,4779736,0,0.0,0.0,0.0
4,1,Alabama,8,4779736,0,0.0,0.0,0.0
5,1,Alabama,9,4779736,0,0.0,0.0,0.0
6,1,Alabama,10,4779736,0,0.0,0.0,0.0
7,1,Alabama,11,4779736,41,0.857787961510845,23.0,0.48119812474998613
8,1,Alabama,12,4779736,591,12.364699640314862,134.0,2.8035021181086153
9,1,Alabama,13,4779736,3551,74.2928061298783,673.0,14.080275563336553
10,1,Alabama,14,4779736,9331,195.2199870453096,1010.0,21.130874173803743
11,1,Alabama,15,4779736,19391,405.69186247943406,1743.0,36.46644919300982
12,1,Alabama,16,4779736,30601,640.2236441510577,1320.0,27.616588029129648
13,1,Alabama,17,4779736,40507,847.473584315117,1518.0,31.759076233499087
14,1,Alabama,18,4779736,50075,1047.6520042111113,1467.0,30.69207169600999
15,1,Alabama,19,4779736,63228,1322.8345665953098,2001.0,41.8642368532488
16,1,Alabama,20,4779736,77247,1616.1352844592252,1882.0,39.37455959910757
17,1,Alabama,21,4779736,93225,1950.4215295572812,2707.0,56.634927117313595
18,1,Alabama,22,4779736,115540,2417.2883188527567,3474.0,72.68183849484573
19,1,Alabama,23,4779736,135158,2827.7293976068972,2548.0,53.30838355925934
20,1,Alabama,24,4779736,161107,3370.6254906128706,5115.0,107.01427861287735
21,1,Alabama,25,4779736,197274,4127.299080953425,4406.0,92.18082337601909
22,1,Alabama,26,4779736,231528,4843.94954030934,5420.0,113.39538418021414
23,1,Alabama,27,4779736,282973,5920.264215429472,8512.0,178.08514947269055
24,1,Alabama,28,4779736,342841,7172.802012496088,9634.0,201.55924929745075
25,1,Alabama,29,4779736,428291,8960.557654230275,13424.0,280.8523315932093
26,1,Alabama,30,4779736,518703,10852.126560964873,12283.0,256.98072027409046
27,1,Alabama,31,4779736,601541,12585.234833053539,12150.0,254.19813981357964
28,1,Alabama,32,4779736,677417,14172.686524946148,9890.0,206.91519364249407
29,1,Alabama,33,4779736,739536,15472.318973265472,7099.0,148.52284728696313
30,1,Alabama,34,4779736,786516,16455.21844721131,6627.0,138.6478249007895
31,1,Alabama,35,4779736,845538,17690.05652195017,10175.0,212.87786605787434
32,1,Alabama,36,4779736,905708,18948.912659611327,7079.0,148.10441413500664
33,1,Alabama,37,4779736,949665,19868.56596263894,6441.0,134.75639658759394
34,1,Alabama,38,4779736,994452,20805.58424147275,6207.0,129.8607287097028
35,1,Alabama,39,4779736,1042293,21806.49726261032,7359.0,153.96247826239775
36,1,Alabama,40,4779736,1091229,22830.31949881751,6848.0,143.27151122990892
37,1,Alabama,41,4779736,1136916,23786.16726948936,6173.0,129.14939235137672
38,1,Alabama,42,4779736,1185070,24793.628769455052,7284.0,152.39335394256085
39,1,Alabama,43,4779736,1249298,26137.384993648186,11729.0,245.39012196489512
40,1,Alabama,44,4779736,1325380,27729.146547005945,9630.0,201.47556266705945
41,1,Alabama,45,4779736,1394639,29178.15963057374,9702.0,202.98192201410285
42,1,Alabama,46,4779736,1477980,30921.791496434114,14135.0,295.7276301452633
43,1,Alabama,47,4779736,1581063,33078.458726590754,14684.0,307.21362016646947
44,1,Alabama,48,4779736,1687316,35301.447611332514,14723.0,308.02956481278466
45,2,Alaska,4,710231,0,0.0,0.0,0.0
46,2,Alaska,5,710231,0,0.0,0.0,0.0
47,2,Alaska,6,710231,0,0.0,0.0,0.0
48,2,Alaska,7,710231,0,0.0,0.0,0.0
49,2,Alaska,8,710231,0,0.0,0.0,0.0
50,2,Alaska,9,710231,0,0.0,0.0,0.0
51,2,Alaska,10,710231,0,0.0,0.0,0.0
52,2,Alaska,11,710231,4,0.5631970443419113,1.0,0.14079926108547783
53,2,Alaska,12,710231,87,12.249535714436572,21.0,2.9567844827950345
54,2,Alaska,13,710231,507,71.38522537033727,92.0,12.95353201986396
55,2,Alaska,14,710231,1050,147.8392241397517,69.0,9.71514901489797
56,2,Alaska,15,710231,1626,228.93959852498693,87.0,12.249535714436572
57,2,Alaska,16,710231,2083,293.2848608410503,47.0,6.617565271017458
58,2,Alaska,17,710231,2327,327.63988054590686,22.0,3.097583743880512
59,2,Alaska,18,710231,2489,350.4493608417543,27.0,3.8015800493079017
60,2,Alaska,19,710231,2611,367.6268706941825,12.0,1.6895911330257338
61,2,Alaska,20,710231,2709,381.4251982805594,18.0,2.534386699538601
62,2,Alaska,21,710231,2824,397.61711330538935,13.0,1.8303903941112116
63,2,Alaska,22,710231,3021,425.3545677392285,60.0,8.447955665128669
64,2,Alaska,23,710231,3763,529.827619464653,119.0,16.755112069171858
65,2,Alaska,24,710231,4679,658.7997426189507,146.0,20.556692118479763
66,2,Alaska,25,710231,5585,786.3638731623937,125.0,17.599907635684726
67,2,Alaska,26,710231,6759,951.6622056767447,201.0,28.30065147818105
68,2,Alaska,27,710231,8609,1212.1408386848784,311.0,43.7885701975836
69,2,Alaska,28,710231,10824,1524.0112019892117,401.0,56.460503695276614
